purchase_id,customer_id,product_id,offer_id,purchase_date,purchase_time,item_count,total_amount,discount_applied,payment_method,device_type,purchase_channel,status
36,488,27,15,2025-04-07,5:43:35,4,561,78.02,Credit Card,Desktop,App,Failed
37,611,194,213,2024-08-05,6:23:39,5,2887.89,295.53,UPI,Tablet,Web,Completed
38,430,22,732,2024-11-20,17:15:09,1,2237.16,463.35,NetBanking,Mobile,App,Failed
39,893,126,929,2024-07-20,22:59:49,6,2758.45,68.37,Credit Card,Tablet,App,Completed
40,792,43,132,2023-07-29,4:57:54,2,2994.69,252.12,Cash,Desktop,App,Refunded
41,270,174,516,2024-02-23,0:05:03,3,2030.53,229.22,UPI,Mobile,Web,Refunded
42,28,3,342,2023-10-20,23:24:35,6,4069.74,105.59,Wallet,Mobile,In-store,Refunded
43,621,102,716,2024-01-21,18:59:41,5,3475.06,344.97,Cash,Tablet,Web,Completed
44,890,187,290,2024-09-19,16:52:15,8,4518.22,362.33,Wallet,Desktop,In-store,Failed
45,867,6,611,2024-12-13,16:47:41,4,1861.54,284.88,Wallet,Tablet,App,Failed
46,950,98,667,2023-08-27,12:58:48,8,2131.59,159.01,Cash,Desktop,Web,Failed
47,504,115,202,2025-01-18,10:34:19,5,1149.69,42.69,UPI,Desktop,App,Failed
48,175,15,309,2024-11-15,4:52:36,9,1844.97,50.85,NetBanking,Desktop,App,Completed
49,975,149,914,2024-08-24,0:32:47,6,4019.75,199.77,NetBanking,Tablet,In-store,Completed
50,869,188,18,2024-01-26,6:28:46,6,4399.35,495.85,Credit Card,Mobile,Web,Completed
51,91,133,719,2023-11-30,9:50:21,8,2796.45,409.07,Wallet,Desktop,App,Failed
52,258,112,465,2024-06-02,8:20:49,7,3839.93,216.02,UPI,Desktop,Web,Refunded
53,506,68,724,2025-01-08,2:53:41,1,2610.88,191.12,Cash,Desktop,App,Completed
54,768,176,715,2023-12-04,5:22:47,7,2626.67,312.89,Credit Card,Tablet,App,Failed
55,98,187,928,2024-10-26,12:17:23,8,2239.33,356.44,NetBanking,Desktop,In-store,Failed
56,515,74,623,2024-12-31,15:56:47,4,2830.09,439.08,Credit Card,Desktop,Web,Refunded
57,457,50,513,2025-07-20,15:03:42,4,3008.85,105.08,Cash,Desktop,App,Failed
58,855,147,396,2024-12-07,16:39:23,2,3037.17,175.66,Cash,Mobile,Web,Refunded
59,987,123,507,2025-02-27,20:11:48,3,4563.15,96.05,NetBanking,Tablet,App,Refunded
60,754,142,834,2025-03-27,2:04:15,5,492.28,180,Wallet,Mobile,Web,Failed
61,604,106,539,2024-02-05,19:06:14,1,3189.92,307.16,Cash,Desktop,App,Refunded
62,849,35,721,2024-12-07,14:33:28,4,1686.29,363.9,NetBanking,Tablet,Web,Completed
63,240,22,530,2025-01-01,0:36:39,8,1353.88,354.9,Credit Card,Tablet,App,Failed
64,941,121,388,2025-05-12,18:19:24,8,1643.46,438.52,Credit Card,Tablet,App,Refunded
65,739,42,458,2024-07-17,11:35:44,9,2834.16,259.78,Cash,Mobile,In-store,Completed
66,589,25,775,2025-05-29,14:08:57,10,3956,105.56,UPI,Desktop,App,Refunded
67,13,108,278,2025-01-10,16:46:55,1,3428.57,17.54,Cash,Tablet,App,Failed
68,260,77,114,2025-03-24,17:58:27,2,2965.51,70.24,Credit Card,Desktop,In-store,Failed
69,707,176,57,2025-04-19,10:13:21,10,2809.85,74.91,Wallet,Desktop,Web,Refunded
70,366,22,150,2024-12-15,17:02:31,2,991.37,411.86,Cash,Desktop,Web,Failed
71,252,79,982,2025-01-06,20:11:48,1,1242.45,409.74,Cash,Desktop,In-store,Refunded
72,776,164,831,2024-10-07,6:07:08,7,4390.04,123.74,Cash,Tablet,In-store,Completed
73,509,64,238,2024-11-26,22:14:11,5,2374.45,45.63,NetBanking,Desktop,App,Refunded
74,194,171,369,2024-10-01,8:09:00,4,1720.79,35.24,Credit Card,Mobile,In-store,Refunded
75,305,100,857,2024-07-19,2:57:19,7,680.2,118.72,Cash,Desktop,In-store,Refunded
76,198,147,182,2024-08-01,5:59:50,9,1658.05,479.69,Credit Card,Desktop,Web,Failed
77,973,87,143,2023-12-31,7:59:26,7,4495.24,136.82,Wallet,Mobile,Web,Refunded
78,506,89,712,2023-12-19,22:21:02,10,108.05,287.96,Cash,Mobile,In-store,Refunded
79,919,69,88,2023-07-29,5:31:41,10,4721.59,54.74,Credit Card,Desktop,Web,Failed
80,620,141,646,2025-04-17,10:15:56,3,2563.4,354.65,Cash,Tablet,In-store,Refunded
81,488,96,845,2023-12-13,15:37:01,6,4424.75,322.55,Wallet,Mobile,Web,Refunded
82,113,23,287,2025-07-03,1:10:37,4,525.74,259.39,Cash,Mobile,App,Failed
83,926,34,376,2025-05-07,1:43:52,5,4894.75,209.01,NetBanking,Desktop,App,Completed
84,240,23,759,2024-07-26,19:08:08,7,626.26,13.9,UPI,Tablet,App,Completed
85,543,29,288,2024-10-16,7:49:04,5,2702.16,397.27,Wallet,Tablet,Web,Failed
86,198,80,689,2024-05-22,18:40:45,5,2851.69,333.38,Cash,Tablet,Web,Refunded
87,121,136,699,2024-08-09,14:18:01,8,1579.5,391.57,UPI,Mobile,In-store,Failed
88,387,73,152,2025-04-17,4:23:14,3,2164.03,59.41,Wallet,Tablet,In-store,Refunded
89,448,20,380,2025-04-18,23:34:29,8,217.55,425.58,UPI,Tablet,In-store,Completed
90,236,182,176,2024-05-16,23:21:59,8,2991.43,164.88,Cash,Tablet,Web,Failed
91,530,53,113,2025-02-16,20:37:12,9,4086.24,366.93,UPI,Mobile,Web,Failed
92,221,3,252,2025-04-10,6:13:17,9,697.17,395.16,NetBanking,Desktop,In-store,Completed
93,553,150,340,2024-06-23,2:31:18,5,333.39,274.64,UPI,Mobile,In-store,Failed
94,923,37,677,2025-03-07,5:33:41,10,1384.99,460.7,Cash,Mobile,Web,Failed
95,793,33,180,2025-04-26,16:04:54,3,3980.75,487.27,Wallet,Desktop,Web,Completed
96,547,66,756,2024-09-01,22:27:37,1,3460.75,286.31,Cash,Tablet,Web,Failed
97,192,162,9,2023-10-06,8:35:32,5,3380.02,230.46,Cash,Tablet,Web,Failed
98,673,148,337,2025-05-15,7:55:08,3,1692.77,396.45,Wallet,Mobile,In-store,Failed
99,132,116,982,2025-04-09,10:35:40,1,1692.05,219.68,UPI,Mobile,Web,Refunded
100,674,159,782,2024-09-27,20:02:03,4,129.24,8.4,Credit Card,Mobile,Web,Failed
101,49,52,538,2024-11-15,23:45:25,9,3475.06,126.97,UPI,Desktop,Web,Completed
102,935,49,864,2024-12-20,10:36:37,9,1368.93,413.65,Cash,Tablet,Web,Completed
103,422,3,74,2024-03-27,12:39:47,4,851.03,289.31,Credit Card,Tablet,Web,Failed
104,951,20,22,2025-04-15,16:29:39,2,1470.53,58.31,UPI,Mobile,App,Refunded
105,170,25,267,2024-06-11,19:52:16,6,4572.47,258.2,UPI,Tablet,Web,Failed
106,701,38,726,2025-06-27,5:11:20,8,127.86,428.49,Wallet,Tablet,Web,Failed
107,350,186,727,2024-10-27,7:48:08,9,1958.59,371.51,Wallet,Desktop,In-store,Completed
108,905,85,926,2024-11-10,2:35:48,1,2149.34,427.73,UPI,Mobile,App,Refunded
109,141,88,828,2024-11-18,19:05:42,8,1816.29,133.49,Wallet,Tablet,App,Completed
110,660,85,8,2024-09-20,17:24:56,6,4593.72,75.16,Wallet,Desktop,Web,Completed
111,175,173,689,2024-04-17,1:46:10,9,4995.92,416.29,Cash,Desktop,In-store,Refunded
112,942,147,125,2024-10-15,9:56:46,2,4385.48,373.77,UPI,Tablet,Web,Refunded
113,453,107,821,2025-07-14,11:36:23,5,4880.95,179.49,Cash,Mobile,Web,Refunded
114,5,68,915,2025-05-09,22:01:17,2,980.31,85.01,NetBanking,Mobile,Web,Failed
115,906,174,178,2023-11-08,18:12:37,5,1956.87,445.88,Cash,Tablet,App,Refunded
116,179,60,826,2024-07-18,4:34:40,2,493.92,408.11,Wallet,Desktop,App,Completed
117,674,113,295,2023-10-24,21:14:04,10,2730.35,89.06,UPI,Tablet,App,Refunded
118,574,126,861,2024-03-31,17:28:33,10,408.24,100.65,NetBanking,Mobile,Web,Completed
119,622,119,365,2025-05-03,15:18:02,6,2431.94,282.61,Cash,Desktop,Web,Completed
120,26,63,26,2024-09-06,6:06:24,10,177.81,123.03,Credit Card,Mobile,App,Failed
121,656,174,570,2023-10-12,12:59:07,2,2694.46,29.47,Cash,Mobile,Web,Refunded
122,209,45,112,2023-08-10,8:17:37,3,3313.1,499.47,NetBanking,Desktop,App,Completed
123,119,51,950,2025-04-17,16:45:20,9,1812.79,120.96,Wallet,Desktop,In-store,Failed
124,326,190,852,2024-10-05,1:08:33,2,2704.2,125.64,UPI,Tablet,App,Completed
125,803,45,254,2025-01-05,10:35:13,10,1542.9,380.26,Wallet,Desktop,Web,Completed
126,869,153,632,2025-05-18,17:45:43,4,3659.08,239.31,UPI,Tablet,App,Failed
127,658,136,758,2023-11-15,6:29:37,5,2263.97,497.32,Cash,Desktop,In-store,Refunded
128,496,135,488,2024-06-18,20:41:31,8,4688.63,462.99,NetBanking,Tablet,App,Refunded
129,278,191,988,2024-02-22,21:06:06,5,3093.43,385.65,NetBanking,Mobile,App,Failed
130,684,188,230,2025-01-11,6:36:11,2,3488.51,210.18,NetBanking,Tablet,App,Failed
131,685,153,324,2025-04-24,1:49:38,10,585.57,129.76,UPI,Tablet,In-store,Failed
132,641,131,746,2023-12-20,18:01:51,3,2865.42,271.63,UPI,Desktop,App,Refunded
133,217,197,240,2025-02-12,12:53:30,8,1182.01,196.05,NetBanking,Desktop,App,Refunded
134,218,64,569,2024-02-29,4:57:12,5,3290.78,490.47,Cash,Tablet,In-store,Refunded
135,963,102,89,2024-02-09,23:13:24,10,3475.06,211.03,Wallet,Desktop,Web,Completed
136,495,44,135,2024-09-20,0:30:00,5,502.16,480.96,Credit Card,Mobile,In-store,Refunded
137,851,182,78,2023-11-02,8:59:55,1,4101.54,113.71,Cash,Desktop,Web,Failed
138,600,72,986,2024-08-01,13:35:58,3,1347,402.81,UPI,Mobile,In-store,Refunded
139,790,48,658,2023-11-09,3:46:09,5,4442.02,306.25,Wallet,Tablet,App,Refunded
140,318,33,272,2024-11-27,2:34:56,4,3981.9,168.35,Wallet,Desktop,In-store,Failed
141,294,185,147,2024-04-08,21:43:27,6,2684.68,62.9,Credit Card,Desktop,App,Failed
142,558,124,822,2025-01-26,21:51:07,10,1251.66,104.72,NetBanking,Mobile,In-store,Refunded
143,320,124,538,2025-03-24,17:55:59,5,4381.39,371.4,UPI,Desktop,Web,Completed
144,187,108,118,2024-07-28,22:05:57,9,2906.87,130.02,Wallet,Mobile,App,Refunded
145,672,157,888,2025-06-24,10:59:21,3,4405.94,388.7,Cash,Mobile,App,Failed
146,396,20,877,2024-11-04,18:27:22,2,2856,458.34,NetBanking,Desktop,In-store,Refunded
147,64,112,848,2025-01-03,11:39:48,3,2896.24,172.79,NetBanking,Desktop,App,Failed
148,660,63,364,2025-02-15,2:13:30,1,1282.5,299.87,NetBanking,Desktop,App,Refunded
149,533,97,972,2024-08-29,8:39:08,1,3618.84,218.73,NetBanking,Tablet,In-store,Refunded
150,484,51,826,2023-11-17,12:15:49,6,3705.75,163.63,Credit Card,Mobile,In-store,Refunded
151,204,138,612,2025-07-01,21:07:47,6,565.04,76.98,UPI,Desktop,In-store,Refunded
152,666,97,428,2025-07-12,15:15:40,6,3667.58,61,NetBanking,Desktop,Web,Refunded
153,611,157,473,2024-10-27,19:16:17,10,925.91,163.26,Credit Card,Desktop,Web,Completed
154,532,133,26,2025-01-07,17:07:13,6,905.87,498.79,Cash,Tablet,In-store,Completed
155,856,164,93,2024-06-20,2:26:35,3,2701.48,169.57,Cash,Desktop,App,Refunded
156,31,91,372,2025-01-15,10:25:20,6,2812.23,258.37,Credit Card,Mobile,App,Refunded
157,947,17,37,2025-06-15,5:25:00,6,3868.66,392.32,Credit Card,Tablet,In-store,Failed
158,489,33,546,2023-08-18,5:05:31,7,1976.58,354.59,Credit Card,Mobile,Web,Refunded
159,188,55,846,2023-12-02,7:54:34,10,516.24,427.26,Credit Card,Tablet,Web,Refunded
160,60,5,665,2024-05-26,10:05:19,6,2466.85,80.07,NetBanking,Tablet,App,Completed
161,511,10,886,2025-06-29,3:52:39,2,2216.03,50.26,UPI,Desktop,App,Failed
162,626,60,551,2024-04-25,13:06:53,6,141.17,399.23,Cash,Mobile,Web,Completed
163,684,109,741,2024-03-10,14:16:47,6,3429.35,457.63,Wallet,Desktop,App,Refunded
164,813,114,203,2024-10-01,7:24:11,7,1869.9,447.44,Cash,Mobile,In-store,Refunded
165,604,3,660,2025-02-16,0:45:04,10,3478.97,61.27,NetBanking,Mobile,In-store,Completed
166,286,200,830,2024-11-29,6:42:53,9,2254.16,51.22,Credit Card,Mobile,In-store,Failed
167,544,147,30,2024-12-10,20:55:33,10,3324.14,493.33,Cash,Mobile,Web,Completed
168,191,69,466,2024-01-19,12:46:40,1,444.8,192.92,Wallet,Desktop,Web,Refunded
169,934,79,332,2023-10-13,21:49:28,6,3298.02,326.3,Cash,Mobile,In-store,Refunded
170,667,72,821,2024-06-12,9:02:31,10,1534.05,254.05,NetBanking,Tablet,In-store,Refunded
171,933,45,540,2024-11-11,12:46:15,2,3630,449.09,Cash,Tablet,App,Failed
172,404,19,543,2024-12-01,23:26:38,7,2873.45,392.62,UPI,Mobile,App,Completed
173,504,199,280,2024-12-16,21:45:11,7,1441.95,71,Wallet,Tablet,App,Completed
174,186,113,6,2023-12-10,20:42:57,5,3302.43,284.75,UPI,Desktop,Web,Completed
175,216,41,885,2025-01-17,22:29:27,2,1036.59,488.2,Credit Card,Mobile,Web,Failed
176,832,163,988,2024-11-25,13:35:59,5,2091.63,31.8,UPI,Mobile,In-store,Failed
177,324,96,697,2024-06-23,12:55:20,7,4766.32,302.69,Credit Card,Desktop,App,Failed
178,17,51,970,2024-12-18,13:13:11,1,679.19,252.48,Cash,Desktop,Web,Failed
179,809,8,214,2024-09-27,11:27:58,3,2253.24,34.26,Cash,Tablet,In-store,Refunded
180,835,124,942,2024-07-09,16:08:17,1,4204.56,66.19,Credit Card,Desktop,In-store,Completed
181,624,168,404,2023-10-28,11:30:40,5,1922.53,260.98,Wallet,Desktop,Web,Completed
182,378,128,282,2024-04-29,20:29:14,8,3254.31,319.9,Cash,Mobile,App,Completed
183,672,190,555,2023-07-29,14:06:33,8,2641.02,164.63,Credit Card,Desktop,In-store,Completed
184,617,168,361,2024-02-18,8:10:52,7,4336.81,285.03,Wallet,Desktop,Web,Refunded
185,15,33,65,2024-06-14,4:49:01,8,4290.15,447.87,NetBanking,Tablet,In-store,Failed
186,582,86,75,2024-06-01,19:55:44,10,193.92,197.72,UPI,Mobile,App,Refunded
187,602,183,375,2025-01-17,20:29:32,8,4877.11,228,Cash,Tablet,In-store,Completed
188,41,112,934,2024-11-11,19:13:56,7,3717.94,352.62,UPI,Mobile,Web,Completed
189,769,68,247,2024-10-20,10:11:34,6,4940.04,281.32,Credit Card,Tablet,In-store,Completed
190,114,166,188,2024-06-30,5:04:02,2,763.3,379.69,Wallet,Mobile,App,Completed
191,544,133,111,2025-06-04,8:57:17,5,4213.71,117.66,Credit Card,Mobile,Web,Completed
192,140,191,224,2025-02-11,17:56:02,9,2422.75,183.57,Wallet,Desktop,In-store,Refunded
193,232,38,971,2023-10-27,2:13:41,2,4912.87,24.35,Credit Card,Desktop,App,Failed
194,568,110,57,2024-10-27,4:42:18,10,2132.19,324.93,NetBanking,Tablet,Web,Refunded
195,633,39,251,2025-07-04,9:40:06,8,4877.11,147.77,Cash,Desktop,Web,Completed
196,273,10,366,2023-10-06,23:00:35,6,3076.47,124.76,NetBanking,Mobile,In-store,Failed
197,127,9,45,2024-05-30,17:25:42,3,3582.44,485.99,Credit Card,Tablet,In-store,Refunded
198,277,198,722,2024-02-26,5:22:05,3,306.57,360.73,Credit Card,Tablet,In-store,Refunded
199,940,1,861,2023-10-20,14:32:32,9,952.66,48.99,Credit Card,Tablet,Web,Failed
200,887,96,324,2024-08-17,3:27:57,1,4840.01,131.55,Credit Card,Tablet,App,Failed
201,574,50,247,2024-06-22,4:33:30,10,447.24,296.52,UPI,Mobile,Web,Failed
202,769,55,610,2025-05-25,10:16:01,8,2947.16,68.48,Credit Card,Tablet,App,Completed
203,446,152,345,2025-06-07,23:20:15,4,4401.61,270.57,Credit Card,Mobile,Web,Refunded
204,361,153,771,2023-07-27,20:27:21,3,3816.45,10.65,NetBanking,Tablet,Web,Refunded
205,776,92,401,2023-10-22,10:35:11,4,981.71,260.25,NetBanking,Tablet,In-store,Completed
206,702,137,436,2023-12-23,16:58:57,5,654.98,119.99,NetBanking,Desktop,Web,Failed
207,230,81,874,2023-10-20,7:30:06,2,3226.27,204.05,NetBanking,Tablet,In-store,Refunded
208,521,68,48,2025-01-08,22:25:14,5,4379.3,406.45,Credit Card,Desktop,In-store,Completed
209,154,107,853,2023-12-19,5:39:45,8,946.3,419.04,Credit Card,Tablet,In-store,Completed
210,680,55,341,2024-05-12,10:21:54,1,4597.44,464.4,Credit Card,Tablet,In-store,Completed
211,816,118,988,2023-08-04,20:17:43,6,4208.41,472.04,NetBanking,Mobile,App,Failed
212,496,81,636,2024-04-04,16:29:19,3,1677.5,197.38,NetBanking,Mobile,Web,Failed
213,92,27,466,2024-10-08,19:32:22,7,3605.33,353.95,Wallet,Desktop,In-store,Completed
214,165,12,57,2023-08-05,4:47:16,7,1810.57,347.99,Wallet,Desktop,App,Refunded
215,540,39,49,2024-01-17,22:29:24,10,2977.28,258.76,NetBanking,Tablet,App,Refunded
216,696,176,643,2024-05-11,0:17:18,10,4645.66,155.31,Credit Card,Tablet,Web,Completed
217,762,105,354,2023-10-25,14:40:10,9,4801.37,408.95,Wallet,Desktop,In-store,Completed
218,549,139,567,2025-02-25,1:46:17,8,941.27,44.83,UPI,Mobile,Web,Completed
219,150,127,928,2024-07-17,1:23:39,6,4314.67,205.25,Credit Card,Tablet,App,Failed
220,708,126,847,2024-02-28,4:56:25,9,2875.72,306.58,Cash,Tablet,App,Completed
221,741,183,81,2024-12-30,10:07:58,2,1007.66,398.91,UPI,Desktop,In-store,Completed
222,610,39,978,2024-04-08,22:33:07,9,1308.35,40.81,Cash,Desktop,App,Failed
223,609,102,63,2024-05-27,14:21:58,3,4390.37,456.47,NetBanking,Mobile,In-store,Completed
224,319,172,317,2024-10-13,17:07:32,7,1368.69,235.28,Wallet,Desktop,App,Completed
225,569,8,44,2023-08-23,3:41:45,8,1104.44,89.85,Cash,Mobile,Web,Refunded
226,609,142,980,2024-04-02,12:12:56,2,4335.47,471.5,Cash,Mobile,App,Completed
227,498,28,678,2024-03-01,14:33:22,6,182.89,6.29,UPI,Desktop,App,Failed
228,741,87,756,2025-05-17,23:55:55,8,1910.13,252.5,Cash,Mobile,App,Refunded
229,725,188,981,2024-03-24,21:34:57,1,908.58,112.05,Cash,Desktop,In-store,Completed
230,700,49,817,2025-01-19,7:15:33,6,3047.13,369.65,Credit Card,Mobile,Web,Refunded
231,136,155,792,2024-08-18,11:08:08,4,4233.18,334.39,UPI,Mobile,App,Failed
232,219,114,909,2024-05-22,21:52:38,2,1441.87,369.28,Credit Card,Desktop,App,Failed
233,839,101,265,2023-08-03,8:53:55,6,1385,65.81,NetBanking,Desktop,App,Failed
234,103,93,435,2024-11-13,23:08:47,3,2562.65,230.78,Wallet,Mobile,Web,Completed
235,637,50,670,2024-05-28,18:47:11,9,1264.53,116.87,Wallet,Mobile,App,Failed
236,696,120,9,2025-05-31,4:51:24,6,1376.28,18.94,Cash,Tablet,In-store,Failed
237,511,65,870,2025-04-09,6:01:29,8,630.96,262.6,Cash,Mobile,In-store,Completed
238,132,143,322,2023-07-31,19:55:33,6,198.03,266.99,NetBanking,Desktop,In-store,Completed
239,804,194,573,2024-04-02,4:55:15,10,1161.37,141.68,Credit Card,Tablet,In-store,Refunded
240,489,103,558,2025-06-07,19:59:33,4,1835.21,77.84,NetBanking,Mobile,Web,Completed
241,315,16,505,2025-04-02,18:27:52,3,996.01,25.73,Credit Card,Mobile,Web,Completed
242,721,81,258,2024-04-06,18:46:13,10,3750.81,44.16,NetBanking,Desktop,In-store,Completed
243,155,8,431,2024-08-26,9:05:30,5,3745.84,289.08,Wallet,Desktop,In-store,Completed
244,279,189,200,2024-01-18,12:16:47,8,1768.29,251.74,NetBanking,Desktop,In-store,Failed
245,596,176,957,2024-08-06,14:20:51,6,2626.04,198.93,Wallet,Tablet,App,Refunded
246,572,78,305,2024-05-04,16:29:05,2,3193.2,425.41,Wallet,Tablet,Web,Completed
247,444,160,15,2025-06-12,17:00:37,9,4247.63,466.17,Wallet,Tablet,App,Completed
248,526,162,471,2025-05-27,5:29:11,4,4540.87,213.7,NetBanking,Tablet,In-store,Failed
249,423,146,865,2025-04-05,13:17:13,1,1816.42,411.79,Wallet,Desktop,App,Refunded
250,963,200,985,2024-12-03,18:17:26,8,2891.51,32,NetBanking,Mobile,Web,Completed
251,497,97,923,2023-09-24,21:51:23,5,1638.45,180.91,Cash,Tablet,App,Refunded
252,252,36,965,2024-12-23,6:15:12,4,3387.96,210.05,NetBanking,Desktop,In-store,Completed
253,694,143,268,2024-12-18,16:24:54,7,3767.06,73.53,Cash,Mobile,Web,Completed
254,832,87,832,2023-11-23,6:53:56,1,105.53,212.47,Credit Card,Desktop,App,Completed
255,337,39,997,2024-11-18,23:08:53,5,2122.7,354.9,UPI,Mobile,App,Failed
256,723,35,384,2023-12-08,2:36:10,10,1750.76,183.25,Wallet,Tablet,In-store,Refunded
257,393,38,729,2025-03-01,5:48:05,3,3556.72,195.87,Credit Card,Mobile,App,Failed
258,18,153,602,2023-12-26,5:28:35,4,2631.4,275.66,Wallet,Mobile,In-store,Failed
259,117,56,132,2025-05-22,18:26:04,2,3714.74,472.99,Credit Card,Mobile,App,Completed
260,820,198,736,2024-01-29,19:28:22,6,2748.95,420.73,Credit Card,Desktop,Web,Completed
261,643,71,60,2023-12-24,14:27:43,3,4715.51,83.58,Cash,Desktop,App,Refunded
262,216,192,510,2024-12-10,1:57:20,3,4579.29,79.53,Credit Card,Mobile,App,Failed
263,238,49,764,2025-05-03,2:13:52,9,4382.87,358.47,NetBanking,Tablet,App,Refunded
264,631,67,785,2023-08-03,14:39:27,9,2773.72,93.7,Cash,Desktop,In-store,Completed
265,481,76,302,2024-01-06,6:05:02,5,1690.93,146.57,NetBanking,Mobile,In-store,Failed
266,697,181,777,2024-06-24,17:45:25,7,3692.66,81.32,UPI,Tablet,In-store,Failed
267,587,186,353,2024-12-09,8:15:48,1,315.81,72.25,NetBanking,Desktop,App,Failed
268,254,82,914,2025-06-10,0:34:10,8,4978.45,425.64,UPI,Tablet,Web,Failed
269,320,174,146,2024-10-04,8:59:21,4,2949.01,369.6,UPI,Mobile,In-store,Refunded
270,935,85,978,2023-12-20,17:12:29,8,1521.79,477.91,NetBanking,Desktop,In-store,Failed
271,692,36,229,2025-03-28,4:07:11,4,708.59,26.91,Cash,Mobile,Web,Completed
272,712,42,457,2025-04-07,7:44:20,1,4881.64,416.21,Credit Card,Desktop,App,Refunded
273,796,60,572,2025-01-20,13:07:12,5,1513.21,322.97,Cash,Tablet,Web,Failed
274,662,102,737,2025-03-22,1:50:28,9,1835.53,424.53,Wallet,Desktop,In-store,Refunded
275,61,167,877,2023-11-28,17:14:11,2,2884.5,81.05,Cash,Desktop,Web,Failed
276,705,103,461,2024-05-25,16:49:52,9,2401.87,172.34,NetBanking,Desktop,In-store,Refunded
277,414,162,581,2024-06-21,13:58:06,5,2704.96,174.59,Wallet,Desktop,Web,Failed
278,99,100,999,2023-12-19,0:55:04,10,1873.77,254.79,NetBanking,Mobile,Web,Refunded
279,911,81,466,2023-12-09,1:57:38,7,1670.75,85.55,UPI,Tablet,In-store,Failed
280,100,181,152,2024-01-31,10:26:19,8,3740.1,60.56,Cash,Desktop,App,Completed
281,619,10,735,2024-06-23,14:52:32,4,1519.99,435.33,Wallet,Desktop,Web,Completed
282,697,130,402,2025-04-13,11:48:51,5,3549.74,395.8,UPI,Tablet,Web,Failed
