offer_id,offer_title,offer_type,category,discount_percent,valid_from,valid_till,usage_limit,offer_channel,terms
40,Food-6060,Coupon,Entertainment,13.26,2024-02-24,2024-05-08,421,Website,Beyond throughout best need section quality whole local.
41,Electronics-5975,Coupon,Travel,27.22,2025-06-12,2025-08-26,758,App,Summer address do save foot blue medical.
42,Food-4883,Discount,Travel,22.75,2024-07-16,2025-06-15,159,Website,Not idea another simply bank.
43,Electronics-3910,Coupon,Electronics,9.06,2023-11-22,2024-10-31,846,Website,Second read professional low whatever play analysis heart.
44,Travel-8480,Cashback,Food,32.73,2025-01-18,2025-06-06,397,Email,Hold police measure agree.
45,Food-4672,Discount,Travel,25.28,2025-06-17,2026-01-10,755,SMS,Science effect activity guy mouth.
46,Entertainment-7950,Coupon,Travel,20.65,2024-05-23,2024-10-15,171,App,Program country source anyone simply easy dinner however.
47,Food-4185,Cashback,Electronics,8.1,2023-07-28,2025-04-23,943,App,Level discuss get Congress stock yeah.
48,Entertainment-5714,Cashback,Fashion,13.13,2025-02-07,2025-11-18,975,Email,Will me process cold western.
49,Travel-2038,LoyaltyPoints,Electronics,15.65,2024-06-01,2024-10-16,914,Website,Another pass relate avoid.
50,Travel-8105,LoyaltyPoints,Food,38.69,2025-02-21,2025-11-29,916,SMS,You hundred better treatment.
51,Food-5746,Discount,Electronics,47.51,2025-06-03,2025-10-19,637,SMS,Rock whole agent send nor book theory.
52,Travel-2338,LoyaltyPoints,Travel,27.4,2023-11-15,2025-05-18,973,App,By raise no factor.
53,Entertainment-3631,Coupon,Fashion,49.56,2023-12-12,2024-10-01,996,Website,Which individual your next nearly remain agreement else.
54,Fashion-3528,Discount,Fashion,22.34,2024-02-09,2025-04-17,237,Website,Nearly TV fear allow whole.
55,Fashion-6027,Discount,Fashion,15.88,2024-10-11,2025-04-20,111,App,Tell whose want edge.
56,Food-9438,LoyaltyPoints,Food,26.17,2023-10-19,2024-09-18,972,Website,Reason offer without board treat myself contain.
57,Fashion-8103,LoyaltyPoints,Travel,12.7,2024-09-30,2025-02-28,172,App,Education hour technology buy pull wonder.
58,Travel-7538,LoyaltyPoints,Food,42.74,2023-09-10,2024-01-01,392,Website,Effect rate candidate seven.
59,Travel-9702,Cashback,Food,40.06,2024-07-25,2025-05-01,191,SMS,Skill suffer leg knowledge anything.
60,Travel-2712,LoyaltyPoints,Entertainment,31.6,2023-09-22,2025-05-23,862,Website,Sing response well your.
61,Food-1239,LoyaltyPoints,Fashion,48.17,2024-11-04,2025-01-24,537,Email,Send career skin son above statement easy.
62,Travel-7912,Cashback,Travel,42.62,2024-07-07,2024-08-31,165,Email,Worry address north machine red possible challenge.
63,Electronics-5967,Coupon,Electronics,32.94,2024-07-14,2025-03-07,330,App,Night cultural of provide little find vote.
64,Entertainment-6455,LoyaltyPoints,Fashion,5.21,2025-06-23,2025-11-02,490,App,Culture ready yourself allow.
65,Travel-5876,LoyaltyPoints,Travel,45.17,2024-11-27,2025-09-28,373,SMS,Room identify report southern agreement meeting.
66,Fashion-2876,Discount,Fashion,22.72,2023-09-22,2026-01-02,496,SMS,Popular large reduce.
67,Food-5237,Cashback,Entertainment,8.75,2025-07-10,2025-10-25,109,Website,Professor or will worker threat carry hour.
68,Entertainment-4200,Discount,Travel,15.15,2024-10-13,2025-08-13,287,SMS,Scene agree final up.
69,Travel-4781,Coupon,Electronics,49.94,2023-12-10,2025-07-21,267,Website,Source national language technology.
70,Travel-7213,Discount,Electronics,12.83,2024-01-09,2025-01-13,580,SMS,Level long huge standard describe worry we.
71,Electronics-6826,Discount,Travel,14.65,2024-09-22,2025-01-01,971,SMS,Arm concern return now.
72,Entertainment-6242,Discount,Entertainment,15.59,2025-03-28,2025-04-05,214,Email,Teacher senior then thought for challenge impact.
73,Entertainment-1523,Cashback,Fashion,27.51,2025-07-01,2025-08-21,944,Website,That provide reflect yourself.
74,Food-9338,Coupon,Travel,24.13,2024-02-24,2024-09-05,482,Website,Station among structure under themselves.
75,Food-9951,Discount,Fashion,16.75,2025-06-06,2025-06-28,84,SMS,Factor coach instead career certain.
76,Fashion-8758,Cashback,Entertainment,33.79,2025-01-22,2025-02-24,571,Website,Should administration choice imagine.
77,Travel-4256,LoyaltyPoints,Travel,28.98,2025-01-02,2025-11-15,686,App,Only catch week rise medical various voice.
78,Food-1266,Coupon,Electronics,16.56,2023-08-01,2024-08-22,122,Website,Final data line listen people.
79,Electronics-7939,Discount,Food,46.98,2024-07-02,2025-06-06,829,App,Never manager artist yes whom.
80,Travel-3429,Discount,Food,15.5,2024-11-04,2025-05-25,990,Email,Word purpose option understand executive.
81,Food-7038,Cashback,Food,33.26,2024-12-14,2025-10-04,183,App,True exactly great phone prepare.
82,Travel-4201,Discount,Entertainment,25.14,2025-05-28,2025-07-29,362,Email,Edge believe network hospital reason.
83,Electronics-1944,Discount,Entertainment,26.58,2023-12-15,2024-11-30,926,SMS,Find animal you what finally relate.
84,Fashion-5218,Discount,Food,38.39,2023-11-30,2025-10-10,553,Email,Each front affect suffer team decide.
85,Travel-4288,Coupon,Fashion,22.1,2023-09-22,2023-11-17,880,SMS,There agency check network response authority.
86,Travel-5441,LoyaltyPoints,Entertainment,45.6,2024-06-23,2025-03-16,112,App,Both tough garden sure maintain effort.
87,Entertainment-8555,Discount,Fashion,46.82,2025-06-11,2025-09-10,107,App,Issue whom choose local media wait have.
88,Travel-8646,Cashback,Travel,24.28,2024-10-14,2026-01-15,521,Email,Last describe matter owner sing win.
89,Electronics-6415,Cashback,Travel,26.94,2025-03-25,2026-01-07,505,SMS,Apply society institution fill agency agreement.
90,Fashion-1809,Discount,Entertainment,17.26,2024-08-06,2024-08-26,916,App,Deal reduce lot discover director case argue.
91,Travel-2224,LoyaltyPoints,Entertainment,38.05,2023-10-04,2025-07-29,507,Website,Develop many central strong build executive.
92,Entertainment-6225,Discount,Electronics,25.35,2024-11-23,2025-06-07,985,Email,From risk deal discuss four less.
93,Fashion-9824,Coupon,Fashion,24.84,2023-08-22,2023-09-24,497,App,Hit or nation politics cut rule.
94,Food-5111,Cashback,Electronics,49.53,2025-02-04,2025-08-02,411,Email,Degree gas cup mind new least.
95,Travel-4129,Cashback,Fashion,8.88,2024-02-28,2025-08-18,998,SMS,Rather whatever house war realize owner break office.
96,Food-1851,Discount,Travel,5.66,2024-04-11,2024-04-16,243,Email,Part resource throughout.
97,Electronics-7304,LoyaltyPoints,Entertainment,26.46,2023-09-25,2025-09-15,422,SMS,Amount business tell above.
98,Electronics-4152,Cashback,Travel,21.72,2024-10-22,2025-03-17,398,App,Store concern reality might seven.
99,Entertainment-9768,Cashback,Electronics,47.68,2025-06-11,2025-10-01,905,Email,Onto during inside participant black.
100,Electronics-9552,LoyaltyPoints,Travel,36.15,2024-06-22,2025-04-17,997,Website,Learn manager lose ability purpose test help director.
101,Fashion-7798,Cashback,Electronics,38.26,2025-05-01,2025-06-09,965,Email,Government collection team spring list drive.
102,Electronics-7935,LoyaltyPoints,Travel,34.07,2024-11-13,2025-05-01,861,App,Would then happen cultural discussion teacher media.
103,Entertainment-7939,Cashback,Electronics,48.05,2024-09-02,2024-10-28,734,Website,Year great perform point western.
104,Entertainment-3859,Cashback,Fashion,22.81,2025-03-02,2025-11-19,225,App,Final reduce purpose position.
105,Food-4795,Cashback,Entertainment,27.22,2024-10-06,2025-11-07,611,App,Leave whether fear without.
106,Electronics-9988,Cashback,Entertainment,15.87,2025-02-26,2025-03-16,676,SMS,Write identify respond believe citizen crime open.
107,Fashion-4845,Coupon,Food,46.06,2023-09-18,2025-12-14,175,App,Create challenge news western hundred.
108,Fashion-3048,Discount,Entertainment,23.35,2025-01-30,2025-10-13,282,App,Mouth kid worry clearly special color wrong.
109,Travel-6485,LoyaltyPoints,Fashion,41.75,2023-08-07,2025-08-22,325,SMS,Memory agreement decide seven relate though particular former.
110,Electronics-1394,Discount,Entertainment,5.12,2024-10-01,2025-10-21,573,Website,Reason resource single college during relate.
111,Food-4622,Discount,Travel,32.35,2024-09-26,2025-03-07,119,SMS,Identify senior carry travel cultural.
112,Electronics-6108,LoyaltyPoints,Entertainment,49,2024-02-15,2026-01-13,420,App,Miss eight check learn.
113,Entertainment-6254,LoyaltyPoints,Travel,29.08,2024-08-16,2025-11-25,919,SMS,Degree including themselves end.
114,Fashion-5468,Cashback,Electronics,13.54,2024-03-11,2025-08-13,347,App,Another cover movement would memory hair.
115,Food-6757,LoyaltyPoints,Fashion,23.79,2024-07-17,2024-07-25,272,Email,Positive agreement cold only trial.
116,Fashion-6269,LoyaltyPoints,Fashion,33.87,2025-06-21,2025-08-04,877,App,Unit by phone concern.
117,Travel-6842,Coupon,Travel,48.58,2025-01-24,2025-11-05,700,Website,Party parent person wonder dinner.
118,Fashion-3825,Coupon,Entertainment,21.7,2024-01-28,2025-02-27,907,Email,Happen bit manager wonder authority.
119,Electronics-1827,LoyaltyPoints,Entertainment,43.58,2024-01-19,2024-04-15,992,Email,Compare dinner land idea with.
120,Entertainment-3333,Coupon,Food,6.66,2025-02-21,2025-10-08,418,SMS,Sell language argue ever despite evidence leader.
121,Travel-7102,LoyaltyPoints,Travel,28.07,2024-03-29,2024-09-13,86,Website,Thousand fight identify recognize recent wonder nature.
122,Electronics-5424,Coupon,Fashion,14.32,2025-04-21,2025-06-18,455,App,Result once leave peace today all.
123,Entertainment-9540,Coupon,Electronics,24.36,2023-07-23,2024-03-04,769,App,American art ability time.
124,Electronics-3819,Coupon,Travel,39.57,2024-07-12,2024-10-14,993,SMS,Throughout kid arm list.
125,Food-7493,Coupon,Food,9.24,2024-05-25,2024-08-26,934,Email,All could section eat.
126,Food-7376,Discount,Entertainment,6.54,2025-07-08,2025-10-23,919,Website,Since issue evidence major table.
127,Fashion-1668,LoyaltyPoints,Travel,11.19,2024-07-22,2024-10-15,319,App,Let technology real call again tax Congress.
128,Electronics-9821,Coupon,Fashion,41.14,2023-12-24,2025-04-30,298,Email,Suffer image summer miss can next condition stage.
129,Travel-8828,LoyaltyPoints,Fashion,25.19,2023-07-29,2025-12-17,137,SMS,Western but that away as everything.
130,Travel-9943,Discount,Electronics,36.76,2023-08-03,2024-03-25,70,App,Perhaps various receive as red the the professor.
131,Food-8486,LoyaltyPoints,Entertainment,33.79,2024-02-06,2025-12-20,83,App,Market finally rich probably marriage.
132,Entertainment-6692,LoyaltyPoints,Travel,18.2,2025-03-26,2025-05-25,929,Website,Pass every art itself measure woman look.
133,Entertainment-4044,Discount,Travel,28.17,2024-01-24,2025-12-29,800,App,Paper then might something despite policy home cut.
134,Travel-6132,Cashback,Travel,36.02,2024-02-22,2024-03-12,798,Website,News beautiful director movement say.
135,Travel-8017,Cashback,Travel,37.53,2025-07-14,2025-10-30,743,Website,Consumer interest student.
136,Food-1844,Discount,Entertainment,37.74,2025-05-21,2026-01-18,942,Email,Not according consumer.
137,Travel-8009,LoyaltyPoints,Fashion,8.03,2024-05-15,2025-01-22,523,App,Effort reach great attack down.
138,Travel-5519,Discount,Food,49.99,2023-09-03,2025-12-12,238,Email,Popular star sister by know race result draw.
139,Electronics-2757,Discount,Fashion,42.74,2023-12-06,2025-10-30,680,Website,Nice beyond place off care visit concern.
140,Food-6755,LoyaltyPoints,Travel,37.66,2024-07-06,2025-08-27,812,SMS,Assume part region physical pressure success member.
141,Fashion-5841,Coupon,Food,43.81,2024-09-24,2025-01-10,954,SMS,Current describe factor rather western phone.
142,Electronics-1789,LoyaltyPoints,Food,29.49,2024-09-14,2025-11-22,905,Email,When most indicate dark peace section between.
143,Food-2774,Discount,Fashion,48.79,2024-04-03,2025-07-18,409,SMS,Certain only organization forget ball bag.
144,Electronics-1853,Discount,Electronics,7.72,2023-11-08,2024-08-05,163,Website,Baby laugh house wife coach.
145,Electronics-4874,LoyaltyPoints,Food,38.06,2023-08-26,2024-01-24,859,SMS,Single growth my laugh skin again western.
146,Electronics-5210,Discount,Travel,17.89,2024-12-14,2025-01-05,119,App,Walk information rock.
147,Travel-1166,LoyaltyPoints,Electronics,28.91,2024-01-17,2025-10-19,322,SMS,Particular here sound debate continue candidate view.
148,Entertainment-9102,LoyaltyPoints,Travel,17.31,2024-11-23,2025-01-06,424,Email,Deal single him bill act source.
149,Food-2434,Cashback,Travel,12.51,2024-03-23,2025-05-16,524,Email,Eye write black worry.
150,Fashion-6666,Cashback,Travel,29.79,2024-05-07,2025-04-03,651,App,Red police window character scientist yet.
151,Electronics-8439,LoyaltyPoints,Entertainment,42.02,2025-01-06,2025-06-23,116,SMS,Goal allow dog government full network live.
152,Travel-9095,Cashback,Fashion,10.79,2023-08-25,2024-05-22,568,SMS,Officer environment increase now nothing.
153,Entertainment-2461,Coupon,Travel,48.84,2023-09-13,2025-01-04,413,SMS,Usually at clear attack middle push trial.
154,Entertainment-4842,LoyaltyPoints,Electronics,28.51,2023-12-11,2026-01-12,324,Email,International family PM agree easy major.
155,Food-8625,Coupon,Fashion,43.09,2024-08-17,2025-09-20,517,App,Him for worry wonder first appear.
156,Electronics-9058,LoyaltyPoints,Electronics,15.12,2025-02-14,2025-10-24,688,App,Yes much think reduce.
157,Entertainment-4193,LoyaltyPoints,Food,30.32,2024-01-27,2025-08-30,617,App,Process ready skill five require avoid approach suffer.
158,Travel-3204,Coupon,Entertainment,45.18,2024-07-01,2024-08-13,329,Website,Several effort shoulder seat remain.
159,Entertainment-4004,LoyaltyPoints,Fashion,13.32,2023-10-30,2025-09-28,582,Email,Feel dog form trial.
160,Food-4069,Cashback,Travel,9.43,2023-08-17,2025-01-24,128,Website,Professional north song position she campaign.
161,Travel-1565,Discount,Entertainment,30.02,2024-09-15,2024-10-09,478,Website,Describe ground he money.
162,Electronics-6231,Discount,Entertainment,48.3,2024-10-03,2024-11-23,803,Email,Better half walk leg live.
163,Fashion-7689,Cashback,Fashion,40.72,2025-05-02,2025-05-03,795,Website,Protect authority because suffer sign at.
164,Entertainment-2843,Discount,Travel,14.02,2024-02-02,2025-02-22,248,Website,Seat enter above produce teach.
165,Travel-2266,LoyaltyPoints,Entertainment,45.6,2025-02-08,2025-07-09,880,App,Week any he evening arm top.
166,Fashion-5461,Discount,Entertainment,20.46,2023-07-26,2025-06-04,756,App,Natural teacher recently shake opportunity smile although.
167,Fashion-6492,Coupon,Travel,48.8,2025-04-14,2025-06-01,876,App,Author think yard evidence age area heart.
168,Travel-6168,Coupon,Entertainment,18.77,2024-01-02,2024-04-11,886,Email,Figure both upon score public.
169,Electronics-7870,Cashback,Electronics,5.4,2024-05-21,2024-11-02,88,Website,Bag garden protect war accept.
170,Electronics-6227,Cashback,Fashion,19.65,2024-06-04,2024-08-27,592,Email,Magazine top after region.
171,Fashion-1363,LoyaltyPoints,Entertainment,22.34,2024-10-12,2025-04-28,696,SMS,Into meet soon loss fall firm project.
172,Entertainment-8247,Coupon,Entertainment,40.88,2025-01-23,2025-04-17,499,Email,Couple bad early according soon thus.
173,Fashion-3200,Cashback,Fashion,6.64,2024-11-25,2025-06-05,842,Website,Finally few help as before recent.
174,Food-9931,Discount,Fashion,31.98,2024-07-06,2024-08-05,182,App,Nor result much left hope one.
175,Travel-6650,Coupon,Travel,43.92,2023-11-11,2024-03-03,549,Website,Third provide and feel former hospital.
176,Fashion-2973,Discount,Food,6.31,2024-06-06,2025-01-16,85,App,Check floor again value.
177,Fashion-6157,Cashback,Entertainment,11.48,2025-02-02,2025-08-31,248,Email,Consider go direction others environment thought general.
178,Food-1229,LoyaltyPoints,Fashion,41.87,2024-07-28,2025-09-05,144,SMS,Represent arm simple tough treat.
179,Entertainment-1584,Cashback,Entertainment,40.41,2023-10-12,2024-12-13,448,Email,Ball official president think.
180,Entertainment-4380,Cashback,Entertainment,23.93,2024-09-30,2025-02-11,609,Website,History order activity gas physical exactly design.
181,Fashion-6111,Discount,Fashion,25.93,2025-01-14,2025-11-21,870,App,Instead another back happen.
182,Entertainment-8570,Cashback,Fashion,31.65,2024-06-29,2025-06-19,241,Website,Effort along decade determine door billion order ground.
183,Travel-6045,Cashback,Fashion,37.31,2025-02-13,2025-11-01,757,SMS,Drive chance audience machine foreign them challenge senior.
184,Travel-1235,Cashback,Electronics,10.84,2023-10-25,2024-05-29,652,SMS,Score Mr range office address.
185,Food-9538,Discount,Electronics,6.88,2025-06-18,2025-12-04,405,Email,Fact sea president be.
186,Electronics-5742,Discount,Food,24.72,2024-05-09,2025-11-08,847,App,Certainly drug none brother who.
187,Entertainment-8316,Cashback,Food,6.38,2024-06-07,2025-10-29,402,Email,Sea third pressure class democratic thing ground.
188,Food-8171,LoyaltyPoints,Food,38.25,2023-08-23,2023-08-28,692,Website,Free during these season owner.
189,Entertainment-3987,Coupon,Travel,10.27,2024-04-16,2024-04-29,420,Email,Leader recognize deal.
190,Electronics-5773,Coupon,Entertainment,34.19,2024-10-26,2026-01-16,958,Website,Letter operation let process.
191,Travel-1035,Coupon,Electronics,17.61,2024-05-31,2025-08-15,681,App,Smile class series already yes sing cover.
192,Entertainment-5006,LoyaltyPoints,Food,45.16,2025-01-22,2025-08-13,312,Email,Understand that front blood eye fine.
193,Fashion-5003,Cashback,Travel,20.53,2025-05-03,2025-07-28,541,Website,Challenge receive history often one sort.
194,Electronics-6908,LoyaltyPoints,Entertainment,36.97,2025-04-21,2025-09-17,962,App,Country current system him.
195,Electronics-9821,Discount,Entertainment,49.17,2024-05-19,2025-08-17,414,Email,Here management six last part.
196,Electronics-5430,Coupon,Travel,25.2,2024-10-29,2026-01-15,811,Website,Radio community how though series.
197,Entertainment-2221,LoyaltyPoints,Travel,22.9,2024-10-30,2024-11-16,277,Email,Opportunity perform hard trouble design design agency.
198,Travel-5748,LoyaltyPoints,Entertainment,14.32,2024-01-06,2024-12-08,792,SMS,Something enjoy court service federal off.
199,Entertainment-4146,Cashback,Travel,33.39,2023-08-29,2025-02-16,858,SMS,Reflect woman recent offer build compare.
200,Food-4791,Cashback,Fashion,17.42,2023-10-01,2025-12-31,995,App,Your station thus story.
201,Food-5279,Cashback,Fashion,24.72,2023-12-23,2024-02-09,738,Email,Most sport sell ever act radio.
202,Entertainment-4039,Cashback,Electronics,44.61,2024-06-01,2024-11-18,107,Website,Debate trial strong during bill.
203,Electronics-8892,LoyaltyPoints,Travel,28.57,2024-08-16,2024-09-29,723,App,Rich high election place shoulder only.
204,Fashion-4436,Cashback,Entertainment,23.93,2023-09-03,2025-08-12,692,Email,Less firm prepare.
205,Fashion-4297,Cashback,Electronics,24.31,2025-07-09,2025-09-26,664,Email,Should base specific resource.
206,Food-3018,Discount,Travel,30.16,2023-09-11,2024-05-28,563,Email,Go miss south writer former scientist property.
207,Fashion-3077,Coupon,Fashion,30.89,2024-11-12,2025-06-24,324,Email,Stage travel business back affect together old itself.
208,Entertainment-3168,LoyaltyPoints,Fashion,28.69,2025-01-23,2025-09-04,124,App,Now now record learn tonight another whether.
209,Entertainment-7551,Cashback,Fashion,34.39,2025-07-12,2025-12-11,93,Website,Example civil drive ever them chair within.
210,Entertainment-6504,Coupon,Electronics,20.43,2023-12-31,2024-02-06,800,App,Stock draw those woman chance boy range.
211,Fashion-8958,Cashback,Entertainment,15.7,2024-09-09,2025-05-10,502,SMS,Citizen law way.
212,Entertainment-5054,LoyaltyPoints,Entertainment,40.9,2025-06-13,2025-09-19,88,App,Hear nor note society watch.
213,Travel-5182,Coupon,Food,34.84,2025-03-18,2025-11-09,583,App,Fight room pattern board.
214,Electronics-7699,Discount,Entertainment,42.76,2025-03-08,2025-12-15,525,Website,Garden outside that style.
215,Fashion-6310,Discount,Entertainment,14.66,2023-10-17,2024-02-19,343,SMS,Avoid thousand use yourself father compare cover.
216,Food-1512,Cashback,Electronics,42.32,2025-05-16,2026-01-13,87,App,Food around laugh important sit economic.
217,Entertainment-1019,Coupon,Fashion,29.18,2023-09-06,2024-04-04,411,SMS,Investment bit specific poor pretty.
218,Food-5448,Discount,Electronics,11.1,2023-11-05,2024-04-25,650,Website,Career early measure executive sister right.
219,Food-3187,LoyaltyPoints,Travel,37,2024-11-05,2025-05-30,760,App,Center coach green institution computer authority.
220,Food-5967,LoyaltyPoints,Travel,5.75,2024-05-15,2025-05-21,263,App,Win plant become song how.
221,Entertainment-3936,LoyaltyPoints,Food,23.03,2024-03-02,2025-04-10,731,Email,Bring ten ever answer rule line full herself.
222,Entertainment-1054,LoyaltyPoints,Fashion,38.14,2024-09-13,2025-02-09,311,Email,Young already their effort.
223,Travel-5081,LoyaltyPoints,Entertainment,38.14,2023-09-29,2025-04-08,937,App,Form lawyer human reason.
224,Travel-4015,Cashback,Electronics,6.95,2024-05-15,2025-04-20,681,Email,Site guy appear discuss fly themselves.
225,Electronics-5006,Coupon,Entertainment,27.46,2023-11-28,2024-08-23,300,Email,Action hear such listen heavy assume.
226,Food-1286,Coupon,Travel,41.83,2024-07-20,2024-12-03,570,SMS,Letter will everyone lawyer PM hold himself.
227,Travel-5270,Coupon,Fashion,33.65,2024-03-01,2024-07-17,658,App,Our data analysis.
228,Electronics-8314,LoyaltyPoints,Food,13.69,2024-08-19,2025-04-28,416,App,Also financial more establish record Mrs past.
229,Fashion-5530,LoyaltyPoints,Food,13.21,2023-08-12,2024-02-22,537,Website,General trial suffer build.
230,Fashion-4451,Discount,Electronics,37.6,2025-06-04,2025-12-01,765,Email,Experience reach arrive our wife.
231,Electronics-5836,LoyaltyPoints,Travel,6.51,2024-12-28,2025-06-11,573,SMS,She everyone international week before edge.
232,Food-3216,Coupon,Travel,17.85,2025-01-28,2025-12-26,890,Email,Camera read left focus.
233,Entertainment-7470,LoyaltyPoints,Travel,27.71,2023-12-11,2024-05-13,159,App,Senior police smile cause mother themselves society.
234,Fashion-7547,Discount,Fashion,19.73,2024-01-24,2024-06-23,904,App,Discover stay federal cut difference.
235,Food-3313,Cashback,Food,26.45,2024-02-13,2024-11-24,452,SMS,Call floor who whole risk draw.
236,Entertainment-9195,Cashback,Fashion,42.02,2024-11-23,2025-12-25,294,SMS,Management respond beautiful understand get use.
237,Electronics-2429,Discount,Travel,34.84,2023-08-23,2023-11-02,486,App,Authority something nice no real.
238,Fashion-5123,Discount,Entertainment,21.2,2024-09-15,2025-10-28,878,Email,Hair feeling real buy important.
239,Electronics-8211,Discount,Food,35.92,2025-03-09,2025-09-23,595,Website,Edge live space ability civil pattern better.
240,Fashion-5300,Discount,Entertainment,28.21,2024-02-11,2024-09-27,665,Email,Travel where cultural clearly often.
241,Travel-9893,LoyaltyPoints,Food,28.04,2025-04-16,2025-11-14,491,App,Boy data kind public trial through story.
242,Entertainment-9697,Coupon,Electronics,43.17,2024-01-22,2025-12-11,59,Email,White relate artist expect difficult industry board should.
243,Fashion-7309,Cashback,Entertainment,36.48,2025-01-04,2025-11-10,438,Website,Important forget to member without feeling such.
244,Fashion-3082,Discount,Entertainment,48.45,2024-05-25,2025-10-10,255,SMS,Interest me herself just economic every Congress.
245,Electronics-3219,LoyaltyPoints,Food,32.99,2024-04-24,2025-01-10,848,App,Decade pass ever event huge hair already.
246,Travel-8129,LoyaltyPoints,Food,34.16,2023-09-25,2024-04-11,197,SMS,Group detail the movie American.
247,Fashion-9412,Discount,Entertainment,20.21,2025-02-07,2025-06-24,738,App,Recent share cup evidence who third middle.
248,Entertainment-8790,Coupon,Travel,46.93,2025-06-16,2026-01-07,518,SMS,Rest soldier far series with gas color.
249,Travel-8959,Coupon,Travel,11.23,2024-01-16,2024-03-13,136,SMS,Tell situation war.
